Stat,Total,Mean,Dev,Min,Max
Call Wait,24171,5.719821,4.406592,0.000000,22.094143
Call in System,24170,9.706560,3.687666,1.001099,19.883716
Call Duration,19637,5.474041,2.586310,1.000000,9.998627
Calls Attended,24171,0.812461,0.390352,0.000000,1.000000
Client Wait,58706,8.600135,21.522326,0.000000,361.870354
Client in System,48570,17.498326,25.728048,0.202919,393.747934
Manager Wait,9940,34.525703,42.464225,0.000000,361.870354
Manager Duration,9940,10.118849,3.878482,0.210398,24.764223
Teller Wait,14505,2.890594,5.001483,0.000000,51.844464
Teller Duration,14504,7.071964,2.878086,0.205174,18.595667
ATM Wait,34261,3.495694,5.013987,0.000000,45.755213
ATM Duration,34260,4.141231,1.862733,0.200389,12.275606
