Stat,Total,Mean,Dev,Min,Max
Call Wait,24255,6.208387,4.777759,0.000000,34.377662
Call in System,18740,9.696642,4.124551,1.003388,19.755275
Call Duration,18740,5.483480,2.590704,1.000407,9.998804
Calls Attended,24255,0.772665,0.419119,0.000000,1.000000
Client Wait,58698,9.529119,23.746118,0.000000,310.274037
Client in System,48581,18.613225,28.206896,0.202444,331.357688
Manager Wait,9808,40.306494,45.905201,0.000000,310.274037
Manager Duration,9808,10.100937,3.877793,0.203189,26.832446
Teller Wait,14967,3.103734,5.290912,0.000000,44.117299
Teller Duration,14966,7.049603,2.899892,0.209480,19.112613
ATM Wait,33923,3.465512,5.026479,0.000000,42.662593
ATM Duration,33922,4.137965,1.864010,0.201759,12.181896
