"Stat","Total","Mean","Dev","Min","Max"
"ATM Duration",84436,"4.140969","1.862674","0.200681","12.181896"
"ATM Wait",84436,"3.464934","5.021251","0.000000","50.108404"
"Call Duration",46633,"5.499744","2.585519","1.000033","9.999463"
"Call in System",46633,"9.738059","4.099945","1.000368","19.975167"
"Call Wait",60367,"6.236943","4.785335","0.000000","48.987263"
"Calls Attended",60367,"0.772492","0.419227","0.000000","1.000000"
"Client in System",121104,"18.726493","28.595492","0.200681","346.831674"
"Client Wait",146340,"9.609135","24.112179","0.000000","342.918013"
"Manager Duration",24622,"10.103307","3.863379","0.203189","26.832446"
"Manager Wait",24623,"40.511503","46.656190","0.000000","342.918013"
"Teller Duration",37281,"7.061668","2.895419","0.209480","21.990956"
"Teller Wait",37281,"3.114749","5.385363","0.000000","53.848460"
