Stat,Total,Mean,Dev,Min,Max
Call Wait,5993,6.071159,4.734937,0.000000,30.133119
Call in System,4683,9.647131,4.116738,1.004345,19.684191
Call Duration,4683,5.509418,2.597591,1.000407,9.995993
Calls Attended,5993,0.781579,0.413209,0.000000,1.000000
Client Wait,14789,9.751271,22.949312,0.000000,270.117981
Client in System,12207,18.914280,27.463958,0.202444,304.283557
Manager Wait,2485,40.866090,42.751382,0.000000,270.117981
Manager Duration,2485,9.966270,3.869498,0.250387,25.282985
Teller Wait,3735,3.091672,5.419531,0.000000,44.117299
Teller Duration,3735,7.020002,2.941426,0.209480,18.358931
ATM Wait,8569,3.630753,5.361806,0.000000,42.128952
ATM Duration,8568,4.165867,1.882081,0.202444,11.403990
